record_id,ArticleTitle,Contributor,Source,PublicationYear,Summary,Identifier
scholar_00137,Towards Hybrid Sentiment Analysis,Julia Hernandez; Marco Petrov,Int. Conf. on Information and Knowledge Management,2017,This work addresses the problem of towards hybrid sentiment analysis. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1137/cikm.2017.00137
scholar_00157,Improving Column Stores with Hybrid Models,Olga O'Brien; Marco Petrov,SDM,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1157/sdm.2013.00157
scholar_00145,Explainable AI with Context-Aware Constraints,Mei Nguyen; Alex Thompson,IS,2001,We study the problem of explainable ai with context-aware constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1145/is.2001.00145
scholar_00269,Information Extraction Over Streaming Data,Laura Garcia; Robert Rossi,Knowledge and Information Systems,2005,We study the problem of information extraction over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1269/kais.2005.00269
scholar_00291,Truth Discovery via Social Networks,Ines Okonkwo; Eric Ferreira; Nadia Johansson; Peng White,IEEE Transactions on Knowledge and Data Engineering,2003,We study the problem of truth discovery via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1291/tkde.2003.00291
scholar_00224,Data Fusion Over Web Data,Kenji Johnson,North American Chapter of the ACL,2008,We study the problem of data fusion over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1224/naacl.2008.00224
scholar_00206,Robust Time Series Forecasting for Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,JMLR,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1206/jmlr.2014.00206
scholar_00302,Towards Parallel Data Augmentation,Reza Yamamoto; Peng White; Eric Ferreira,ICDE,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1302/icde.2014.00302
scholar_00110,A Generative Framework for Text Classification,Michael Brown; Tom Dubois; Alex Thompson,ACM Int. Conf. on Web Search and Data Mining,2015,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1110/wsdm.2014.00110
scholar_00326,Robust Time Series Forecasting for Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,JMLR,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1326/jmlr.2014.00326
scholar_00228,Multi-Source Record Linkage at Scale,David Nakamura,ACM SIGIR Conf. on Research and Development in IR,2012,This work addresses the problem of multi-source record linkage at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1228/sigir.2012.00228
scholar_00016,Named Entity Recognition for Spatial Data,Chen Deng,Int. Joint Conf. on Artificial Intelligence,2016,"In this paper, we propose named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1016/ijcai.2016.00016
scholar_00236,Robust Bloom Filters for Spatial Data,Jin Martinez,JMLR,2020,"In this paper, we propose robust bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1236/jmlr.2020.00236
scholar_00397,Improving Column Stores with Hybrid Models,Olga O'Brien; Marco Petrov,SIAM Int. Conf. on Data Mining,2013,We study the problem of improving column stores with hybrid models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1397/sdm.2013.00397
scholar_00156,Bloom Filters via Spatial Data,Jin Martinez,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2012,We present a novel approach for bloom filters via spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1156/kdd.2012.00156
scholar_00221,Robust Self-Supervised Learning for Financial Transactions,Grace Jackson; Ahmed Wilson,CVPR,2005,We study the problem of robust self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1221/cvpr.2005.00221
scholar_00454,Data Integration: Challenges and Opportunities,Wei Silva; David Nakamura; Ahmed Wilson,ACM Symposium on Principles of Database Systems,2022,This work addresses the problem of data integration: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1454/pods.2022.00454
scholar_00182,Towards Parallel Data Augmentation,Eric Ferreira; Peng White; Reza Yamamoto,ICDE,2014,"In this paper, we propose towards parallel data augmentation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1182/icde.2014.00182
scholar_00093,Discriminative Data Wrangling at Scale,Natasha Zhang; Reza Yamamoto,Int. Conf. on Extending Database Technology,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1093/edbt.2021.00093
scholar_00161,Robust Schema Matching for Financial Transactions,Anna Lee; Ahmed Wilson,CVPR,2017,"In this paper, we propose robust schema matching for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1161/cvpr.2017.00161
scholar_00083,Efficient Relation Extraction: A Suvrey,Sara Fischer; Yuki Müller; Sophie Cohen; Sven Chen,TKDD,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1083/tkdd.2011.00083
scholar_00310,Text Classification with Generative Constraints,Michael Brown; Tom Dubois; Alex Thompson,ICLR,2022,We present a novel approach for text classification with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1310/iclr.2022.00310
scholar_00115,Weak Supervision with Adaptive Constraints,Priya Kumar; Michael Brown; Mei Nguyen; Tom Dubois,IS,2019,We study the problem of weak supervision with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1115/is.2019.00115
scholar_00469,Information Extraction: Challenges and Opportunities,Laura Garcia; Robert Rossi,Int. World Wide Web Conference,2013,We introduce a new method for information extraction: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1469/www.2013.00469
scholar_00400,Query Processing with Scalable Constraints,James Smith,ICLR,2016,We study the problem of query processing with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1400/iclr.2016.00400
scholar_00412,Improving Data Cleaning with Probabilistic Models,Sven Chen,ACM Transactions on Database Systems,2004,We introduce a new method for improving data cleaning with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1412/tods.2004.00412
scholar_00045,Collaborative Filtering: A Context-Aware Approach,Emma Kim; Alex Thompson,AAAI,2021,This work addresses the problem of collaborative filtering: a context-aware approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1045/aaai.2021.00045
scholar_00088,Learning-Based Active Learning,Carlos Tanaka,Data Mining and Knowledge Discovery,2016,"In this paper, we propose learning-based active learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1088/dmkd.2016.00088
scholar_00355,Weak Supervision with Adaptive Constraints,Priya Kumar; Michael Brown; Mei Nguyen; Tom Dubois,IS,2019,We study the problem of weak supervision with adaptive constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1355/is.2019.00355
scholar_00114,Contrastive Learning in the Wild,Marco Petrov; David Nakamura; Eric Ferreira,The VLDB Journal,2018,This work addresses the problem of contrastive learning in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1114/vldbj.2018.00114
scholar_00439,Duplicate Detection: Challenges and Opportunities,Alicia Sharma; Pedro Thomas; Olga O'Brien; Jin Martinez,Int. World Wide Web Conference,2007,We study the problem of duplicate detection: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1439/www.2007.00439
scholar_00350,A Generative Framework for Text Classification,Michael Brown; Tom Dubois; Alex Thompson,ACM Int. Conf. on Web Search and Data Mining,2014,This work addresses the problem of a generative framework for text classification. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1350/wsdm.2014.00350
scholar_00446,Robust Time Series Forecasting for Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,JMLR,2014,This work addresses the problem of robust time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1446/jmlr.2014.00446
scholar_00338,Joint Approximate Nearest Neighbour: A Survey,Robert Rossi; Jin Martinez; Wei Silva,Advances in Neural Information Processing Systems,2003,We introduce a new method for joint approximate nearest neighbour: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1338/neurips.2002.00338
scholar_00274,Contrastive Learning: Challenges and Opportunities,Marco Petrov; David Nakamura; Eric Ferreira,PODS,2010,This work addresses the problem of contrastive learning: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1274/pods.2010.00274
scholar_00279,Duplicate Detection in the Wild,Alicia Sharma; Pedro Thomas; Olga O'Brien; Jin Martinez,ICML,2015,We present a novel approach for duplicate detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1279/icml.2015.00279
scholar_00451,Truth Discovery for Social Networks,Ines Okonkwo; Eric Ferreira; Nadia Johansson; Peng White,ACM SIGMOD Int. Conf. Management of Data,2019,We introduce a new method for truth discovery for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1451/sigmod.2019.00451
scholar_00453,Discriminative Data Wrangling at Scale,Natasha Zhang; Reza Yamamoto,Int. Conf. on Extending Database Technology,2021,We introduce a new method for discriminative data wrangling at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1453/edbt.2021.00453
scholar_00064,Data Fusion: Challenges and Opportunities,Kenji Johnson,ACM Symposium on Principles of Database Systems,2016,This work addresses the problem of data fusion: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1064/pods.2016.00064
scholar_00232,Improving Matrix Factorisation with Probabilistic Models,Diego Taylor,ACM Transactions on Database Systems,2016,We introduce a new method for improving matrix factorisation with probabilistic models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1232/tods.2016.00232
scholar_00076,Bloom Filters for Spatial Data,Jin Martinez,Int. Joint Conf. on Artificial Intelligence,2004,We introduce a new method for bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1076/ijcai.2004.00076
scholar_00181,Self-Supervised Learning for Financial Transactions,Grace Jackson; Ahmed Wilson,ACM SIGMOD Int. Conf. Management of Data,2013,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1181/sigmod.2013.00181
scholar_00342,Data Augmentation: From Theory to Practice,Eric Ferreira; Peng White; Reza Yamamoto,ACL,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1342/acl.2006.00342
scholar_00113,Discriminative Differential Privacy: A Survey,Nadia Johansson; Reza Yamamoto,ACM Transactions on Knowledge Discovery from Data,2017,We introduce a new method for discriminative differential privacy: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1113/tkdd.2017.00113
scholar_00480,Query Processing: A Scalable Approach,James Smith,VLDB,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1480/vldb.2000.00480
scholar_00208,Learning-Based Active Learning,Carlos Tanaka,Data Mining and Knowledge Discovery,2016,"In this paper, we propose learning-based active learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1208/dmkd.2016.00208
scholar_00367,Improving Transfer Learning with Semi-Supervised Models,Lisa Li; Wei Silva; Grace Jackson; David Nakamura,SDM,2007,We present a novel approach for improving transfer learning with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1367/sdm.2007.00367
scholar_00459,Anomaly Detection in the Wild,Fatima Patel; Pedro Thomas; Julia Hernandez; Jin Martinez,Int. Conf. on Machine Learning,2003,We study the problem of anomaly detection in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1459/icml.2003.00459
scholar_00284,Topic Modelling Over Web Data,Peng White,NAACL,2020,This work addresses the problem of topic modelling over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1284/naacl.2020.00284
scholar_00340,Federated Learning with Scalable Constraints,Tom Dubois,Int. Conf. on Learning Representations,2004,"In this paper, we propose federated learning with scalable constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1340/iclr.2004.00340
scholar_00196,Bloom Filters for Spatial Data,Jin Martinez,Int. Joint Conf. on Artificial Intelligence,2004,We introduce a new method for bloom filters for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1196/ijcai.2004.00196
scholar_00030,Text Classification: A Generative Approach,Michael Brown; Tom Dubois; Alex Thompson,VLDB,2006,We present a novel approach for text classification: a generative approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1030/vldb.2006.00030
scholar_00344,Data Fusion Over Web Data,Kenji Johnson,North American Chapter of the ACL,2008,We study the problem of data fusion over web data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1344/naacl.2008.00344
scholar_00318,Joint Causal Inference at Scale,Pedro Thomas; Jin Martinez; Marco Petrov,ACM SIGIR Conf. on Research and Development in IR,2006,We present a novel approach for joint causal inference at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1318/sigir.2006.00318
scholar_00171,Truth Dsicovery via Social Networks,Ines Okonkwo; Eric Ferreira; Nadia Johansson; Peng White,IEEE Transactions on Knowledge and Data Engineering,2003,We study the problem of truth discovery via social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1171/tkde.2003.00171
scholar_00068,Multi-Source Record Linkage: A Survey,David Nakamura,Advances in Neural Information Processing Systems,2020,We study the problem of multi-source record linkage: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1068/neurips.2020.00068
scholar_00201,Schema Matching via Financial Transactions,Anna Lee; Ahmed Wilson,TKDE,2009,We present a novel approach for schema matching via financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1201/tkde.2009.00201
scholar_00244,Topic Modelling: Challenges and Opportunities,Peng White,ACM Symposium on Principles of Database Systems,2004,"In this paper, we propose topic modelling: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1244/pods.2004.00244
scholar_00032,Towards Proabbilistic Matrix Factorisation,Diego Taylor,ICDE,2008,We introduce a new method for towards probabilistic matrix factorisation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1032/icde.2008.00032
scholar_00071,Robust Dense Retrieval for Social Networks,Alice Kovacs; Eric Ferreira; Natasha Zhang; Peng White,CVPR,2023,"In this paper, we propose robust dense retrieval for social networks. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1071/cvpr.2023.00071
scholar_00237,Column Stores: From Theory to Practice,Olga O'Brien; Marco Petrov,Artificial Intelligence,2021,We study the problem of column stores: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1237/aij.2021.00237
scholar_00085,Collaborative Filtering with Context-Aware Constraints,Emma Kim; Alex Thompson,IS,2013,We introduce a new method for collaborative filtering with context-aware constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1085/is.2013.00085
scholar_00380,A Scalable Framework for Federated Learning,Tom Dubois,ACM Int. Conf. on Web Search and Data Mining,2020,We present a novel approach for a scalable framework for federated learning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1380/wsdm.2020.00380
scholar_00190,Text Classification with Generative Constraints,Michael Brown; Alex Thompson; Tom Dubois,ICLR,2022,We present a novel approach for text classification with generative constraints. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1190/iclr.2022.00190
scholar_00389,Information Extraction Over Streaming Data,Laura Garcia; Robert Rossi,KAIS,2005,We study the problem of information extraction over streaming data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1389/kais.2005.00389
scholar_00043,Learning-Based Relation Extraction,Sara Fischer; Yuki Müller; Sophie Cohen; Sven Chen,EMNLP,2019,This work addresses the problem of learning-based relation extraction. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1043/emnlp.2019.00043
scholar_00082,Improving Graph Neural Networks with Parallel Models,Ahmed Wilson; Peng White; Yuki Müller,ACM Transactions on Database Systems,2010,We study the problem of improving graph neural networks with parallel models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1082/tods.2010.00082
scholar_00393,Discriminative Differential Privacy at Scale,Nadia Johansson; Reza Yamamoto,EDBT,2009,This work addresses the problem of discriminative differential privacy at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1393/edbt.2009.00393
scholar_00162,Graph Neural Networks: From Theory to Practice,Ahmed Wilson; Peng White; Yuki Müller,ACL,2018,"In this paper, we propose graph neural networks: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1162/acl.2018.00162
scholar_00007,Improving Transfer Learning with Semi-Supervised Models,Lisa Li; Wei Silva; Grace Jackson; David Nakamura,SDM,2007,We present a novel approach for improving transfer learning with semi-supervised models. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1007/sdm.2007.00007
scholar_00207,Transfer Learning: From Theory to Practice,Lisa Li; Wei Silva; Grace Jackson; David Nakamura,AIJ,2015,"In this paper, we propose transfer learning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1207/aij.2015.00207
scholar_00246,Time Series Forecasting via Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,ACM SIGKDD Conf. on Knowledge Discovery and Data Mining,2006,"In this paper, we propose time series forecasting via heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1246/kdd.2006.00246
scholar_00266,Robust Data Profiling for Heterogeneous Sources,Reza Yamamoto; Sven Chen; Pedro Thomas,JMLR,2002,"In this paper, we propose robust data profiling for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1266/jmlr.2002.00266
scholar_00484,Topic Modelling: Challenges and Opportunities,Peng White,ACM Symposium on Principles of Database Systems,2004,"In this paper, we propose topic modelling: challenges and opportunities. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1484/pods.2004.00484
scholar_00323,Efficient Relation Extraction: A Survey,Sara Fischer; Yuki Müller; Sophie Cohen; Sven Chen,TKDD,2012,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1323/tkdd.2011.00323
scholar_00135,Knowledge Graph Embedding: A Adaptive Approach,Elena Anderson; Michael Brown; Emma Kim; Tom Dubois,AAAI Conf. on Artificial Intelligence,2015,"In this paper, we propose knowledge graph embedding: a adaptive approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1135/aaai.2015.00135
scholar_00308,Multi-Source Record Linkage: A Survey,David Nakamura,Advances in Neural Information Processing Systems,2020,We study the problem of multi-source record linkage: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1308/neurips.2020.00308
scholar_00102,Data Augmentation: From Theory to Practice,Eric Ferreira; Peng White; Reza Yamamoto,ACL,2006,We introduce a new method for data augmentation: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1102/acl.2006.00102
scholar_00238,Learning-Based Causal Inference,Pedro Thomas; Jin Martinez; Marco Petrov,DMKD,2022,"In this paper, we propose learning-based causal inference. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1238/dmkd.2022.00238
scholar_00038,Joint Causal Inference: A Survey,Pedro Thomas; Jin Martinez; Marco Petrov,NeurIPS,2014,We introduce a new method for joint causal inference: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1038/neurips.2014.00038
scholar_00152,Towards Probabilistic Matrix Factorisation,Diego Taylor,ICDE,2008,We introduce a new method for towards probabilistic matrix factorisation. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1152/icde.2008.00152
scholar_00203,Efficient Relation Extraction: A Survey,Sara Fischer; Yuki Müller; Sophie Cohen; Sven Chen,TKDD,2011,We study the problem of efficient relation extraction: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1203/tkdd.2011.00203
scholar_00488,Multi-Source Active Learning: A Survey,Carlos Tanaka,Advances in Neural Information Processing Systems,2008,We present a novel approach for multi-source active learning: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1488/neurips.2008.00488
scholar_00166,Time Series Forecasting for Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,Int. Joint Conf. on Artificial Intelligence,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1166/ijcai.2022.00166
scholar_00087,Transfer Learning: From Theory to Practice,Lisa Li; Wei Silva; Grace Jackson; David Nakamura,AIJ,2015,"In this paper, we propose transfer learning: from theory to practice. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1087/aij.2015.00087
scholar_00176,Robust Named Entity Recognition for Spatial Data,Chen Deng,Journal of Machine Learning Research,2008,We study the problem of robust named entity recognition for spatial data. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1176/jmlr.2008.00176
scholar_00468,Multi-Source Record Linkage at Scale,David Nakamura,ACM SIGIR Conf. on Research and Development in IR,2012,This work addresses the problem of multi-source record linkage at scale. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1468/sigir.2012.00468
scholar_00421,Self-Supervised Learning for Financial Transactions,Grace Jackson; Ahmed Wilson,ACM SIGMOD Int. Conf. Management of Data,2013,We present a novel approach for self-supervised learning for financial transactions. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1421/sigmod.2013.00421
scholar_00240,Query Processing: A Scalable Approach,James Smith,Proc. VLDB Endowment,2000,This work addresses the problem of query processing: a scalable approach. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1240/vldb.2000.00240
scholar_00098,Joint Apporximate Nearest Neighbour: A Survey,Robert Rossi; Jin Martinez; Wei Silva,Advances in Neural Information Processing Systems,2002,We introduce a new method for joint approximate nearest neighbour: a survey. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1098/neurips.2002.00098
scholar_00294,Data Integration in the Wild,Wei Silva; David Nakamura; Ahmed Wilson,VLDBJ,2006,"In this paper, we propose data integration in the wild. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.",10.1294/vldbj.2006.00294
scholar_00065,A Context-Aware Framework for Explainable AI,Mei Nguyen; Alex Thompson,ICDM,2016,This work addresses the problem of a context-aware framework for explainable ai. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1065/icdm.2017.00065
scholar_00046,Time Series Forecasting for Heterogeneous Sources,Yuki Müller; Sven Chen; Robert Rossi,Int. Joint Conf. on Artificial Intelligence,2022,This work addresses the problem of time series forecasting for heterogeneous sources. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1046/ijcai.2022.00046
scholar_00212,Towards Probabilistic Data Cleaning,Sven Chen,IEEE Int. Conf. on Data Engineering,2020,We study the problem of towards probabilistic data cleaning. Extensive experiments on real-world benchmarks demonstrate the effectiveness of the proposed approach.,10.1212/icde.2020.00212
